어떠/B_XRI	어떠/XR
셔터/B_NNGI	셔터/NNG
몸매/B_NNGI	몸매/NNG
갸웃거렸/B_VVIII+EP	갸웃거리/VV + 었/EP
천차만별/B_NNGIII	천차만별/NNG
떨어져/B_VVII+EC	떨어지/VV + 어/EC
엉거주춤/B_MAGIII	엉거주춤/MAG
점증/B_NNGI	점증/NNG
안/B_NNP	안/NNP
안/B_NNG	안/NNG
분열/B_NNGI	분열/NNG
간다는/B_VV+ETMII	가/VV + ㄴ다는/ETM
생생/B_XRI	생생/XR
감춰/B_VVI_VV+EC	감추/VV + 어/EC
경험/B_NNGI	경험/NNG
가슴속/B_NNGII	가슴속/NNG
이상/B_NNPI	이상/NNP
증상/B_NNGI	증상/NNG
여운/B_NNGI	여운/NNG
베끼/B_VVI	베끼/VV
대교출판사/B_NNPIIII	대교출판사/NNP
배/B_VV	배/VV
이루어져/B_VVIII+EC	이루어지/VV + 어/EC
마친/B_VVI+ETM	마치/VV + ㄴ/ETM
감/B_VV	감/VV
총알/B_NNGI	총알/NNG
예고/B_NNGI	예고/NNG
이야기/B_NNGII	이야기/NNG
수면/B_NNGI	수면/NNG
잖아/B_EFI	잖아/EF
했/B_XSA+EP	하/XSA + 았/EP
귓전/B_NNGI	귓전/NNG
믿기/B_VVI	믿기/VV
단체장/B_NNGII	단체장/NNG
넘겨줄/B_VVII+ETM	넘겨주/VV + ㄹ/ETM
림프선/B_NNGII	림프선/NNG
댄스곡/B_NNGII	댄스곡/NNG
파렴치/B_NNGII	파렴치/NNG
비닐/B_NNGI	비닐/NNG
→/B_SW	→/SW
쑥스러운/B_VAII+B_NYI_ETM	쑥스럽/VA + ㄴ/ETM
기웃거리/B_VVIII	기웃거리/VV
청량리/B_NNPII	청량리/NNP
방영/B_NNGI	방영/NNG
전국부녀연합회/B_NNPIIIIII	전국부녀연합회/NNP
대가리/B_NNGII	대가리/NNG
사업장/B_NNGII	사업장/NNG
만촌동/B_NNPII	만촌동/NNP
공공/B_NNGI	공공/NNG
공급처/B_NNGII	공급처/NNG
겨를/B_NNBI	겨를/NNB
는단/B_ETMI	는단/ETM
뒤섞인/B_VVII+ETM	뒤섞이/VV + ㄴ/ETM
님/B_XSN	님/XSN
해소/B_NNGI	해소/NNG
하와이/B_NNPII	하와이/NNP
배달/B_NNGI	배달/NNG
국민학교/B_NNGIII	국민학교/NNG
無理數/B_SHII	無理數/SH
영접/B_NNGI	영접/NNG
완구/B_NNGI	완구/NNG
종이컵/B_NNGII	종이컵/NNG
지킨/B_VVI+ETM	지키/VV + ㄴ/ETM
바치/B_VVI	바치/VV
옛/B_MM	옛/MM
기업/B_NNGI	기업/NNG
수학/B_NNGI	수학/NNG
사는/B_VV+B_NYI_ETM	살/VV + 는/ETM
전제/B_NNGI	전제/NNG
곤도라/B_NNGII	곤도라/NNG
두르/B_VVI	두르/VV
생긋/B_MAGI	생긋/MAG
화장대/B_NNGII	화장대/NNG
교편/B_NNGI	교편/NNG
모두/B_NNGI	모두/NNG
살폈/B_VVI+EP	살피/VV + 었/EP
크림/B_NNGI	크림/NNG
형태/B_NNGI	형태/NNG
괌/B_NNP	괌/NNP
나물/B_NNGI	나물/NNG
현지/B_NNGI	현지/NNG
낚싯줄/B_NNGII	낚싯줄/NNG
주책없/B_VAII	주책없/VA
가해/B_VVI+EC	가하/VV + 아/EC
앵글/B_NNGI	앵글/NNG
환희/B_NNGI	환희/NNG
승진/B_NNGI	승진/NNG
밀집/B_NNGI	밀집/NNG
부시장/B_NNGII	부시장/NNG
물수건/B_NNGII	물수건/NNG
들른다/B_VVI+B_NYI_EF	들르/VV + ㄴ다/EF
요리/B_NNGI	요리/NNG
시노폴리/B_NNPIII	시노폴리/NNP
느라/B_ECI	느라/EC
성공/B_NNGI	성공/NNG
숙박료/B_NNGII	숙박료/NNG
눈망울/B_NNGII	눈망울/NNG
전용/B_NNGI	전용/NNG
감안/B_NNGI	감안/NNG
소린/B_NNGI+B_NY	소리/NNG + 이/VCP
벗어나/B_VVII	벗어나/VV
벌어진/B_VVII+ETM	벌어지/VV + ㄴ/ETM
바빠/B_VAI_EC	바쁘/VA
아/B_EC	아/EC
아/B_EF	아/EF
나와야/B_VVI_ECI	나오/VV
신지은/B_NNPII	신지은/NNP
공항/B_NNGI	공항/NNG
차릴/B_VVI+ETM	차리/VV + ㄹ/ETM
대우/B_NNGI	대우/NNG
꺼/B_VV+EC	끄/VV + 어/EC
노르웨이/B_NNPIII	노르웨이/NNP
반바지/B_NNGII	반바지/NNG
감압/B_NNGI	감압/NNG
진영미/B_NNPII	진영미/NNP
입원/B_NNGI	입원/NNG
률/B_XSN	률/XSN
장관/B_NNGI	장관/NNG
입혀/B_VVI+EC	입히/VV + 어/EC
늘어뜨린/B_VVIII+ETM	늘어뜨리/VV + ㄴ/ETM
끌어당겼/B_VVIII+EP	끌어당기/VV + 었/EP
삭감/B_NNGI	삭감/NNG
나간/B_VXI+ETM	나가/VX + ㄴ/ETM
더만/B_EFI	더만/EF
이상/B_NNGI	이상/NNG
LNG/B_SLII	LNG/SL
나돌/B_VVI	나돌/VV
공존/B_NNGI	공존/NNG
되물은/B_VVI+B_NYI_ETM	되묻/VV + 은/ETM
차종/B_NNGI	차종/NNG
요/B_VCP+EC	이/VCP + 요/EC
자기/B_NNGI	자기/NNG
안경/B_NNGI	안경/NNG
가득/B_MAGI	가득/MAG
계셨/B_VXI+EP	계시/VX + 었/EP
장난감/B_NNGII	장난감/NNG
사업부/B_NNGII	사업부/NNG
시뮬레이터/B_NNGIIII	시뮬레이터/NNG
흰색/B_NNGI	흰색/NNG
침대/B_NNGI	침대/NNG
깨졌/B_VVI+EP	깨지/VV + 었/EP
게리/B_NNPI	게리/NNP
봐야죠/B_VX+B_NYI_ECI	보/VX + 아야죠/EC
지망/B_NNGI	지망/NNG
잠실/B_NNPI	잠실/NNP
뿌리목/B_NNGII	뿌리목/NNG
똑똑/B_XRI	똑똑/XR
저장/B_NNGI	저장/NNG
길이/B_NNGI	길이/NNG
뜻밖에/B_MAGII	뜻밖에/MAG
문희웅/B_NNPII	문희웅/NNP
다친/B_VVI+ETM	다치/VV + ㄴ/ETM
면목/B_NNGI	면목/NNG
휘감/B_VVI	휘감/VV
보습/B_NNGI	보습/NNG
미끄러진/B_VVIII+ETM	미끄러지/VV + ㄴ/ETM
유리컵/B_NNGII	유리컵/NNG
무조건/B_MAGII	무조건/MAG
요/B_VCP+EF	이/VCP + 오/EF
주목/B_NNGI	주목/NNG
된/B_XSA+ETM	되/XSA + ㄴ/ETM
햄릿/B_NNPI	햄릿/NNP
웃도리/B_NNGII	웃도리/NNG
아리/B_VAI	아리/VA
300/B_SNII	300/SN
살펴보/B_VVII	살펴보/VV
대담/B_NNGI	대담/NNG
황야/B_NNPI	황야/NNP
굶주림/B_NNGII	굶주림/NNG
정착/B_NNGI	정착/NNG
전지전능/B_NNGIII	전지전능/NNG
복장/B_NNGI	복장/NNG
레일/B_NNGI	레일/NNG
김춘/B_NNPI	김춘/NNP
뭔지/B_NP+B_NYI_VCP+EC	뭐/NP + 이/VCP
아버지/B_NNGII	아버지/NNG
간략/B_XRI	간략/XR
지배욕/B_NNGII	지배욕/NNG
화학/B_NNGI	화학/NNG
키워/B_VVI+EC	키우/VV + 어/EC
제정신/B_NNGII	제정신/NNG
경성척식경제전문학교/B_NNPIIIIIIIII	경성척식경제전문학교/NNP
지금쯤/B_NNGII	지금쯤/NNG
비난/B_NNGI	비난/NNG
두레교회/B_NNPIII	두레교회/NNP
YWCA/B_SLIII	YWCA/SL
리라고/B_ECII	리라고/EC
정말/B_MAGI	정말/MAG
언덕배기/B_NNGIII	언덕배기/NNG
세우/B_VVI	세우/VV
대처/B_NNGI	대처/NNG
쓰/B_VV	쓰/VV
찔리/B_VVI	찔리/VV
얘긴/B_NNGI+JX	얘기/NNG + ㄴ/JX
문자판/B_NNGII	문자판/NNG
향/B_NNG	향/NNG
쓰/B_VA	쓰/VA
거친/B_VVI+ETM	거치/VV + ㄴ/ETM
휴직/B_NNGI	휴직/NNG
생긴다/B_VVI+B_NYI_EF	생기/VV + ㄴ다/EF
집결/B_NNGI	집결/NNG
지르/B_VVI	지르/VV
작자/B_NNGI	작자/NNG
옥/B_NNG	옥/NNG
시비/B_NNGI	시비/NNG
급격히/B_MAGII	급격히/MAG
영양/B_NNGI	영양/NNG
무력/B_NNGI	무력/NNG
녹화/B_NNGI	녹화/NNG
놓/B_EC+VX	아/EC + 놓/VX
폐렴/B_NNGI	폐렴/NNG
규모/B_NNGI	규모/NNG
환호/B_NNGI	환호/NNG
자선/B_NNGI	자선/NNG
노곤/B_XRI	노곤/XR
세워/B_VVI+EC	세우/VV + 어/EC
싸/B_VV+EC	싸/VV + 아/EC
특별히/B_MAGII	특별히/MAG
그거/B_NPI	그거/NP
재빨리/B_MAGII	재빨리/MAG
한다고/B_VX+B_NYI_ECI	하/VX + ㄴ다고/EC
선율/B_NNGI	선율/NNG
커닝/B_NNGI	커닝/NNG
금융/B_NNGI	금융/NNG
청/B_NNG	청/NNG
탐방기/B_NNGII	탐방기/NNG
늙/B_VV	늙/VV
바지/B_NNGI	바지/NNG
늘려서/B_VVI+ECI	늘리/VV + 어서/EC
듯/B_EC	듯/EC
소년/B_NNGI	소년/NNG
만두/B_NNGI	만두/NNG
북구/B_NNGI	북구/NNG
애호가/B_NNGII	애호가/NNG
짧/B_VA	짧/VA
여/B_JKV	여/JKV
케임브리지/B_NNPIIII	케임브리지/NNP
코펠/B_NNGI	코펠/NNG
자조/B_NNGI	자조/NNG
오린/B_VVI+ETM	오리/VV + ㄴ/ETM
대/B_XSN	대/XSN
목소리/B_NNGII	목소리/NNG
인정/B_NNGI	인정/NNG
모스/B_NNPI	모스/NNP
공룡/B_NNGI	공룡/NNG
거주/B_NNGI	거주/NNG
관람/B_NNGI	관람/NNG
부들부들/B_MAGIII	부들부들/MAG
오른/B_VVI+ETM	오르/VV + ㄴ/ETM
들으려/B_VV+B_NYI_ECI	듣/VV + 으려/EC
숙제/B_NNGI	숙제/NNG
고요/B_EFI	고요/EF
내구/B_NNGI	내구/NNG
구조대/B_NNGII	구조대/NNG
애/B_EF	애/EF
잖/B_EC	지/EC
아케이드/B_NNGIII	아케이드/NNG
실향민/B_NNGII	실향민/NNG
가리킨/B_VVII+ETM	가리키/VV + ㄴ/ETM
비판/B_NNGI	비판/NNG
GNP/B_SLII	GNP/SL
새초롬/B_NNGII	새초롬/NNG
군대/B_NNGI	군대/NNG
꽃꽂이/B_NNGII	꽃꽂이/NNG
심심찮/B_VAII	심심찮/VA
살상/B_NNGI	살상/NNG
감겨/B_VVI+EC	감기/VV + 어/EC
이끄는/B_VVI+B_NYI_ETM	이끌/VV + 는/ETM
운동/B_NNGI	운동/NNG
최/B_XPN	최/XPN
스러운/B_XSAI+B_NYI_ETM	스럽/XSA + ㄴ/ETM
소문났/B_VVII+EP	소문나/VV + 았/EP
마가렛/B_NNPII	마가렛/NNP
역시/B_MAGI	역시/MAG
스타일/B_NNGII	스타일/NNG
교수/B_NNGI	교수/NNG
꾸지람/B_NNGII	꾸지람/NNG
풀풀/B_MAGI	풀풀/MAG
쌍마/B_NNPI	쌍마/NNP
바쁜/B_VAI+ETM	바쁘/VA + ㄴ/ETM
원색/B_NNGI	원색/NNG
대/B_XPN	대/XPN
특화/B_NNGI	특화/NNG
하마터면/B_MAGIII	하마터면/MAG
칼/B_NNG	칼/NNG
시작종/B_NNGII	시작종/NNG
올라타/B_VVII	올라타/VV
내렸/B_VVI+EP	내리/VV + 었/EP
무서웠/B_VAI+B_NYI_EP	무섭/VA + 었/EP
실었/B_VV+B_NYI_EP	싣/VV + 었/EP
딸랑딸랑/B_MAGIII	딸랑딸랑/MAG
달콤/B_XRI	달콤/XR
그러니까/B_MAJIII	그러니까/MAJ
거든요/B_EFII	거든요/EF
결정자/B_NNGII	결정자/NNG
토초/B_NNGI	토초/NNG
꼭/B_MAG	꼭/MAG
앞면/B_NNGI	앞면/NNG
들어/B_VV+B_NYI_EC	듣/VV + 어/EC
서투르/B_VAII	서투르/VA
반영/B_NNGI	반영/NNG
갹출금/B_NNGII	갹출금/NNG
저쪽/B_NPI	저쪽/NP
전형/B_NNGI	전형/NNG
그런지/B_VAI+B_NYI_EC	그렇/VA + ㄴ지/EC
유아/B_NNGI	유아/NNG
흘끔거리/B_VVIII	흘끔거리/VV
달라지/B_VVII	달라지/VV
심의/B_NNGI	심의/NNG
C/B_SL	C/SL
상체/B_NNGI	상체/NNG
하반기/B_NNGII	하반기/NNG
장가/B_NNGI	장가/NNG
삿대/B_NNGI	삿대/NNG
소화/B_NNGI	소화/NNG
근로자/B_NNGII	근로자/NNG
음영/B_NNGI	음영/NNG
사근사근/B_XRIII	사근사근/XR
계신/B_VXI+ETM	계시/VX + ㄴ/ETM
시킨다랄지/B_XSVI+B_NYI_ECII	시키/XSV + ㄴ다랄지/EC
익/B_VV	익/VV
개조/B_NNGI	개조/NNG
갱스부르/B_NNPIII	갱스부르/NNP
동동/B_MAGI	동동/MAG
월하분교/B_NNPIII	월하분교/NNP
돋보이/B_VVII	돋보이/VV
아쉽/B_VAI	아쉽/VA
물어보/B_VVII	물어보/VV
이중/B_NNGI	이중/NNG
작/B_VA	작/VA
개정/B_NNGI	개정/NNG
지경/B_NNBI	지경/NNB
이국/B_NNGI	이국/NNG
황폐/B_NNGI	황폐/NNG
해줄/B_VX+B_NYI_EC+VX	하/VX + 아/EC
봐/B_VX+EF	보/VX + 아/EF
봐/B_VX+EC	보/VX + 아/EC
'/B_SS	'/SS
71/B_SNI	71/SN
회오리주/B_NNGIII	회오리주/NNG
허수/B_NNGI	허수/NNG
이빨/B_NNGI	이빨/NNG
받쳤/B_VVI+EP	받치/VV + 었/EP
이대로/B_MAGII	이대로/MAG
사라지/B_VVII	사라지/VV
개도국/B_NNGII	개도국/NNG
17/B_SNI	17/SN
없앰/B_VVI+ETN	없애/VV + ㅁ/ETN
베/B_VV	베/VV
견과/B_NNGI	견과/NNG
더더군다나/B_MAGIIII	더더군다나/MAG
연락처/B_NNGII	연락처/NNG
나았/B_VV+B_NYI_EP	낫/VV + 았/EP
장난/B_NNGI	장난/NNG
버릴/B_VXI+ETM	버리/VX + ㄹ/ETM
속쌍꺼풀/B_NNGIII	속쌍꺼풀/NNG
아/B_IC	아/IC
부패/B_NNGI	부패/NNG
논리/B_NNGI	논리/NNG
올라와/B_VVII+EC	올라오/VV + 아/EC
이어져/B_VVII+EC	이어지/VV + 어/EC
군/B_NNB	군/NNB
지나갈/B_VVII+ETM	지나가/VV + ㄹ/ETM
애국심/B_NNGII	애국심/NNG
우러나온/B_VVIII+ETM	우러나오/VV + ㄴ/ETM
온종일/B_NNGII	온종일/NNG
군/B_NNG	군/NNG
할수록/B_XSV+B_NYI_ECI	하/XSV + ㄹ수록/EC
회수/B_NNGI	회수/NNG
떡/B_MAG	떡/MAG
만나서/B_VVI+B_NYI_EC	만나/VV + 아서/EC
넣/B_VV	넣/VV
행차도/B_NNGII	행차도/NNG
희영의/B_NNPII+JKG	희영이/NNP + 의/JKG
볼트/B_NNGI	볼트/NNG
곧/B_VA	곧/VA
잠수/B_NNGI	잠수/NNG
두서없이/B_MAGIII	두서없이/MAG
가까스로/B_MAGIII	가까스로/MAG
나는/B_VV+B_NYI_ETM	날/VV + 는/ETM
돼갑/B_VV+B_NYI_EC	되/VV + 어/EC
자꾸/B_MAGI	자꾸/MAG
꼽/B_VV	꼽/VV
옥스퍼드식/B_NNGIIII	옥스퍼드식/NNG
티켓/B_NNGI	티켓/NNG
독서/B_NNGI	독서/NNG
꾼들/B_XSNI	꾼/XSN
세법/B_NNGI	세법/NNG
방법/B_NNGI	방법/NNG
잡다/B_XRI	잡다/XR
인치/B_NNGI	인치/NNG
퍼부었/B_VVI+B_NYI_EP	퍼붓/VV + 었/EP
군데군데/B_MAGIII	군데군데/MAG
동포/B_NNGI	동포/NNG
경작/B_NNGI	경작/NNG
대우/B_NNPI	대우/NNP
꺼내/B_VVI+EC	꺼내/VV + 어/EC
순순히/B_MAGII	순순히/MAG
데/B_EF	데/EF
1943/B_SNIII	1943/SN
이딸리아/B_NNPIII	이딸리아/NNP
침통/B_NNGI	침통/NNG
국난/B_NNGI	국난/NNG
종류/B_NNGI	종류/NNG
16/B_SNI	16/SN
육성회/B_NNGII	육성회/NNG
법규/B_NNGI	법규/NNG
휘젓/B_VVI	휘젓/VV
x/B_SL	x/SL
열렸/B_VVI+EP	열리/VV + 었/EP
떨어지/B_VVII	떨어지/VV
추진/B_NNGI	추진/NNG
설레/B_VVI	설레/VV
수석/B_NNGI	수석/NNG
텐트/B_NNGI	텐트/NNG
탈퇴/B_NNGI	탈퇴/NNG
쇼킹/B_NNGI	쇼킹/NNG
배열/B_NNGI	배열/NNG
삽입/B_NNGI	삽입/NNG
인기/B_NNGI	인기/NNG
명기/B_NNGI	명기/NNG
고의/B_NNGI	고의/NNG
김성준/B_NNPII	김성준/NNP
스포츠/B_NNGII	스포츠/NNG
설령/B_MAGI	설령/MAG
농담/B_NNGI	농담/NNG
통치/B_NNGI	통치/NNG
찬사/B_NNGI	찬사/NNG
그나저나/B_MAGIII	그나저나/MAG
개발/B_NNGI	개발/NNG
거사/B_NNGI	거사/NNG
다가갈/B_VVII+ETM	다가가/VV + ㄹ/ETM
출범/B_NNGI	출범/NNG
놀라움/B_NNGII	놀라움/NNG
졸업식/B_NNGII	졸업식/NNG
키우/B_VVI	키우/VV
튼튼/B_XRI	튼튼/XR
쌀/B_NNG	쌀/NNG
야/B_JX	야/JX
소학교/B_NNGII	소학교/NNG
축산/B_NNGI	축산/NNG
평등/B_NNGI	평등/NNG
넘친다/B_VVI+B_NYI_EF	넘치/VV + ㄴ다/EF
답습/B_NNGI	답습/NNG
네/B_NP+JKG	너/NP + 의/JKG
식히/B_VVI	식히/VV
디딘/B_VVI+ETM	디디/VV + ㄴ/ETM
동화/B_NNGI	동화/NNG
제꼈/B_VVI+EP	제끼/VV + 었/EP
170/B_SNII	170/SN
이내/B_MAGI	이내/MAG
표출/B_NNGI	표출/NNG
산다던가/B_VV+EFIII	살/VV + ㄴ다던가/EF
유추/B_NNGI	유추/NNG
우쭐대/B_VVII	우쭐대/VV
정규/B_NNGI	정규/NNG
마련된다/B_NNGB_XSV+B_NYI_EF	마련/NNG + 되/XSV + ㄴ다/EC
헤어지/B_VVII	헤어지/VV
수술비/B_NNGII	수술비/NNG
수질/B_NNGI	수질/NNG
걸을/B_VV+B_NYI_ETM	걷/VV + 을/ETM
자동/B_NNGI	자동/NNG
얼얼/B_XRI	얼얼/XR
현재/B_MAGI	현재/MAG
조성/B_NNGI	조성/NNG
데/B_VV	데/VV
아득/B_XRI	아득/XR
내외/B_NNGI	내외/NNG
수상식/B_NNGII	수상식/NNG
이웃/B_NNGI	이웃/NNG
재킷/B_NNGI	재킷/NNG
날카로웠/B_VAII+B_NYI_EP	날카롭/VA + 었/EP
취임/B_NNGI	취임/NNG
헤아리/B_VVII	헤아리/VV
포세이/B_NNPII	포세이/NNP
경상/B_NNGI	경상/NNG
전달한다/B_NNGB_XSV+B_NYI_EF	전달/NNG + 하/XSV + ㄴ다/EC
입빠른/B_VAII+ETM	입빠르/VA + ㄴ/ETM
토끼/B_NNGI	토끼/NNG
식상/B_NNGI	식상/NNG
끌/B_VV	끌/VV
비관/B_NNGI	비관/NNG
대안/B_NNGI	대안/NNG
극복/B_NNGI	극복/NNG
구청/B_NNGI	구청/NNG
넘긴/B_VVI+ETM	넘기/VV + ㄴ/ETM
죽였/B_VVI+EP	죽이/VV + 었/EP
적혀/B_VVI+EC	적히/VV + 어/EC
둘러싼/B_VVII+ETM	둘러싸/VV + ㄴ/ETM
성가/B_NNGI	성가/NNG
짜여져야/B_VVI+ECI+ECI	짜이/VV
냉면/B_NNGI	냉면/NNG
떨어질/B_VVII+ETM	떨어지/VV + ㄹ/ETM
연약/B_XRI	연약/XR
그만두/B_VVII	그만두/VV
밥통/B_NNGI	밥통/NNG
주세페/B_NNPII	주세페/NNP
어학/B_NNGI	어학/NNG
텁텁/B_XRI	텁텁/XR
허리/B_NNGI	허리/NNG
바/B_NNB	바/NNB
장애자/B_NNGII	장애자/NNG
베이붐/B_NNGII	베이붐/NNG
바/B_NNG	바/NNG
점퍼/B_NNGI	점퍼/NNG
더라도/B_ECII	더라도/EC
우정면/B_NNPII	우정면/NNP
해야/B_XSA+B_NYI_EC	하/XSA + 아야/EC
기대서/B_VVII	기대서/VV
숨기/B_VVI	숨기/VV
천지/B_NNPI	천지/NNP
나왔/B_VVI+B_NY	나오/VV + 았/EP
종사자/B_NNGII	종사자/NNG
화면/B_NNGI	화면/NNG
키드/B_NNGI	키드/NNG
잘났/B_VAI+EP	잘나/VA + 았/EP
느라고/B_ECII	느라고/EC
밤중/B_NNGI	밤중/NNG
풍선/B_NNGI	풍선/NNG
이길/B_VVI+ETM	이기/VV + ㄹ/ETM
현관/B_NNGI	현관/NNG
동그래졌/B_VVIII+EP	동그래지/VV + 었/EP
바느질/B_NNGII	바느질/NNG
호응/B_NNGI	호응/NNG
각색/B_NNGI	각색/NNG
대명/B_NNPI	대명/NNP
개방/B_NNGI	개방/NNG
주차장/B_NNGII	주차장/NNG
일/B_NNG	일/NNG
간단/B_XRI	간단/XR
일/B_NNB	일/NNB
소멸기/B_NNGII	소멸기/NNG
자치/B_NNGI	자치/NNG
국내/B_NNGI	국내/NNG
